type,context,query,answer
model-new-blk,康后坐事，临诛，谓子绍曰：“巨源在，汝不孤矣。”,坐,因……犯罪，触犯法律
model-new-blk,时人欲危裴秀，涛正色保持之。由是失权臣意，出为冀州刺史。,危,使……危险，伤害，加害
model-new-cho,以二人居势争权，涛平心处中，各得其所，而俱无恨焉。,居,处于
model-new-cho,故帝之所用，或非举首，众情不察，以涛轻重任意。,举,推举
model-new-trn,或谮之于帝，故帝手诏戒涛，而涛行之自若，一年之后众情乃寝。,谮,诬陷，说坏话
model-new-trn,或谮之于帝，故帝手诏戒涛，而涛行之自若，一年之后众情乃寝。,寝,平息（议论、情绪）
model-new-blk,世所谓常、杨、元、白不足多也,多,赞许，推崇
model-new-blk,郭皇后失位，称《诗·白华》以讽，争者贬，公又救之。,争,直谏，规劝
model-new-cho,而又有政事材，遇事尤剧尤若简而有余。,剧,艰难
model-new-cho,平居宽然，貌不自持，至其敢言自守，矫然壮者也。,矫然,勇武状
model-new-trn,不取一物于民而足，皆公力也,力,功劳
model-new-blk,士信怒，重著二甲，左右双鞬而上马，须陀壮而从之,壮,认为……结实强壮
model-new-blk,士信耻与伍，率所部千余人来降高祖，拜陕州道行军总管，因谋世充,谋,图谋，营求
model-new-cho,然持法严，至亲旧无少贷，其下亦不甚附,贷,赦免，宽恕
model-new-cho,城陷，黑闼欲用之，不屈而死，年二十八。王隐悼，购其尸以葬，谥曰勇,隐悼,沉痛悼念
model-new-trn,士信年始十四，短而悍，固请自效。须陀谓曰：“汝形容未胜衣甲，何可入阵！”,始,才
model-new-trn,士信年始十四，短而悍，固请自效。须陀谓曰：“汝形容未胜衣甲，何可入阵！”,固,坚决
model-new-trn,士信年始十四，短而悍，固请自效。须陀谓曰：“汝形容未胜衣甲，何可入阵！”,胜,承受
model-new-blk,公子再拜，因问。侯生乃屏人间语,屏,使退避
model-new-blk,然则信陵果无罪乎?曰：又不然也。余所诛者，信陵君之心也,诛,责备
model-new-cho,如姬之欲为公子死，无所辞，口未有路耳,辞,推托、推辞
model-new-cho,夫强秦之暴亟矣，今悉兵以临赵，赵必亡,亟,极端，到极点
model-new-trn,今有难，无他端而欲赴秦军，譬若以肉投馁虎，何功之有哉?,端,方法
model-new-trn,今有难，无他端而欲赴秦军，譬若以肉投馁虎，何功之有哉?,馁,饥饿
model-new-blk,公生六岁而孤,孤,幼年丧父
model-new-blk,以治行尤异，擢吏部文选司主事,擢,提升官职/提拔
model-new-cho,大河界邑中，河以北多剧盗。,界,隔开
model-new-cho,士大夫家居，童骑以数千指计，纵横自如，囊橐奸宄；或入民舍，取器物，伤纤弱。,囊橐,勾结
model-new-trn,公戎服登陴御之，手剑斩渠贼，伤指不退，夜出奇兵击贼，贼败去。,戎服,穿上军服
model-new-trn,公戎服登陴御之，手剑斩渠贼，伤指不退，夜出奇兵击贼，贼败去。,手,亲手
model-new-trn,公戎服登陴御之，手剑斩渠贼，伤指不退，夜出奇兵击贼，贼败去。,渠贼,首领/头目
model-new-blk,文谓礼曰：'吾二人并当死。汝母老，鲜兄弟，以我代盗，庶全汝母子命。',庶,但愿、或许
model-new-blk,成化初，用王翱荐，擢嘉兴知府。,用,因为
model-new-cho,继宗入见曰：'为治有体。公但剔奸弊，劝惩官吏。若比户稽核，则有司事，非宪体也。'儒不能难，而心甚衔之。,难,辩驳
model-new-cho,治中陈翼讦其过，权贵因中之，左迁云南副使。,中,造谣
model-new-trn,公但剔奸弊，劝惩官吏。若比户稽核，则有司事，非宪体也。,剔,清除/揭发
model-new-trn,公但剔奸弊，劝惩官吏。若比户稽核，则有司事，非宪体也。,劝惩,奖惩
model-new-trn,以一仆自随署斋萧然性刚廉孤峭人莫敢犯。,孤峭,孤高清峻/孤傲严峻
model-new-blk,纠擿奸猾，无所贷，株连徒党，相援引。,贷,宽恕
model-new-blk,上大怒，遂械孟兼至阙下，廷诘之，命卫士摔发摘挚，垂死，特论弃市。,论,判定
model-new-cho,纠擿奸猾，无所贷，株连徒党，相援引。,纠,检举
model-new-cho,纠擿奸猾，无所贷，株连徒党，相援引。,引,牵连
model-new-trn,月朔望入学，谒孔子毕，令诸生执经讲说，孟兼故以语侵讥印，印不平。,朔望,农历每月初一和十五
model-new-trn,月朔望入学，谒孔子毕，令诸生执经讲说，孟兼故以语侵讥印，印不平。,侵讥,冒犯并讽刺
model-new-blk,无何，以事逮系。有旨输左校，板筑萧墙，望都门讴吟为粤声。,系,逮捕、关押、拘禁、囚禁
model-new-blk,学士宋濂、乐韶凤，承旨詹同，亟称许之。日侍上左右，奏对敏便而容观飘逸，濂辈皆自以为莫及。,亟,多次、屡次
model-new-cho,苏为东吴剧郡，素号难治。蕡赞画有方，政用大和。,赞画,辅佐参谋
model-new-cho,究天人性命之理，为岭表儒宗，官虽不甚显，而所至有声，出处穷达，夷险一致云。,表,外面
model-new-trn,以事谪戍辽东，怡然就道。是年竟以党祸见杀，人皆劝其以疏自明。,谪戍,贬谪并戍边
model-new-trn,以事谪戍辽东，怡然就道。是年竟以党祸见杀，人皆劝其以疏自明。,见,被
model-new-trn,以事谪戍辽东，怡然就道。是年竟以党祸见杀，人皆劝其以疏自明。,疏,上奏章（或奏疏）
model-new-blk,前而生者，犹冀有待于后世,冀,期待
model-new-blk,俨然如游其门，蹑而从之,蹑,追随，追踪
model-new-cho,先生人品如此，道德如此，才望如此，而终身不得一试，故发之于文，无一体不备，亦无备不造，虽游其门者尚不能赞一辞，况后人哉！,赞,添加，增加
model-new-cho,以故恨也,余是以窃附景仰之私，欲考其生卒始末、履历之详，如昔人所谓年谱者，时时置几案间，俨然如游其门，蹑而从之。而序集皆不载，以故恨也。,遗憾
model-new-trn,则其人之文当皎然如日星之炳焕，凡有目能睹之矣，而又何借于序赞乎？,皎然,明亮洁白的样子
model-new-trn,则其人之文当皎然如日星之炳焕，凡有目能睹之矣，而又何借于序赞乎？,借,依靠，依赖
model-new-blk,从猎渭川，献诗以讽,讽,委婉劝谏，婉言规劝
model-new-blk,自是恩意尤渥,渥,优厚
model-new-cho,苍生颙颙以谓朝有新政,颙颙,景仰
model-new-cho,手敕更加百户，旌其著节,旌,表彰
model-new-trn,乖人事，违天时，起无用之作，崇不急之务，群心震摇，众口藉藉,乖,违背
model-new-trn,乖人事，违天时，起无用之作，崇不急之务，群心震摇，众口藉藉,崇,重视
model-new-trn,乖人事，违天时，起无用之作，崇不急之务，群心震摇，众口藉藉,藉藉,纷乱的样子，形容议论纷纷
model-new-blk,洪就隐学，悉得其法焉。,悉,全部
model-new-blk,元帝为丞相，辟为掾。,辟,征召
model-new-cho,凡所著撰，皆精核是非，而才章富赡。,精核,精心核查
model-new-cho,且欲缄之金匮，以示识者。,缄,封闭，封藏
model-new-trn,今为此书，粗举长生之理。世儒徒知服膺周孔，莫信神仙之书，不但大而笑之，又将谤毁真正。,粗,大略地、简要地
model-new-trn,今为此书，粗举长生之理。世儒徒知服膺周孔，莫信神仙之书，不但大而笑之，又将谤毁真正。,服膺,铭记在心，衷心信奉
model-new-trn,今为此书，粗举长生之理。世儒徒知服膺周孔，莫信神仙之书，不但大而笑之，又将谤毁真正。,真正,真正的道理（或真知正见）
model-new-blk,为文辞已超诣拔出,诣,超出；高出
model-new-blk,特命除翰林修撰，俾预修《永乐大典》,俾,使；让；令
model-new-cho,众望风宣腾，公持之益坚。,宣腾,哗然
model-new-cho,忌之者又背沮之于其私，至相与揶揄其所为。,沮,诋毁
model-new-trn,公在高帝时，素以笃学见称，数言事，切中当时，高帝嘉纳之。,笃,治学专诚深厚
model-new-trn,公在高帝时，素以笃学见称，数言事，切中当时，高帝嘉纳之。,见,被（表被动）
model-new-trn,公在高帝时，素以笃学见称，数言事，切中当时，高帝嘉纳之。,嘉纳,赞许并采纳
model-new-blk,每得降卒，必亲引问委曲，由是贼中险易远近虚实尽知之。,易,地势平坦
model-new-blk,诸将请所之，愬曰：“但东行。”,但,只管，尽管
model-new-cho,每得降卒，必亲引问委曲，由是贼中险易远近虚实尽知之。,委曲,底细原委
model-new-cho,近城有鹅鸭池，愬令击之以混军声。,混,混淆
model-new-trn,守门卒方熟寐，尽杀之，而留击柝者，使击柝如故。,方,正在
model-new-trn,守门卒方熟寐，尽杀之，而留击柝者，使击柝如故。,如故,像原来一样
model-new-blk,以明经征诣公车,诣,去、前往、赴任
model-new-blk,愍余生之不造兮,愍,怜惜、哀怜
model-new-cho,谏幽州刺史无与燕刺王通,通,交往
model-new-cho,遂投劾归,投,呈递
model-new-trn,吾生无妄之世，值浇、羿之君，上有老母，下有兄弟，安得独洁己而危所生哉！,值,遇上、遭遇
model-new-trn,吾生无妄之世，值浇、羿之君，上有老母，下有兄弟，安得独洁己而危所生哉！,所生,生养自己的人（或父母家人）
model-new-blk,臣愿赐尚方斩马剑，断佞臣一人以厉其余,厉,勉励/振奋
model-new-blk,勿易！因而辑之，以旌直臣,旌,表彰
model-new-cho,既论难，连拄五鹿君。故诸儒为之语曰：‘五鹿岳岳，朱云折其角。’,拄,驳倒
model-new-cho,勿易！因而辑之，以旌直臣,辑,修补
model-new-trn,今朝廷大臣上不能匡主，下亡以益民，皆尸位素餐，孔子所谓‘鄙夫不可与事君’者也,匡,匡扶，辅正
model-new-trn,今朝廷大臣上不能匡主，下亡以益民，皆尸位素餐，孔子所谓‘鄙夫不可与事君’者也,尸,空占职位
model-new-trn,今朝廷大臣上不能匡主，下亡以益民，皆尸位素餐，孔子所谓‘鄙夫不可与事君’者也,鄙夫,浅薄庸俗之人，不可辅佐君主的人
model-new-blk,法在恤民民反病，事因除弊弊愈增。,病,困苦，疲敝
model-new-blk,七年，江南大稔，诏令诸府县以官钞平籴备振贷，苏州遂得米二十九万石。,稔,丰收，成熟
model-new-cho,然自视歉然，有感怀一首云：‘日宴忘餐夜半兴，簿书烦恼为无能。’,歉,不足
model-new-cho,通计米四十万石有奇，并官钞所籴，共得米七十万余石,奇,余数
model-new-trn,公至，与并坐，说田里间事甚悉，俄而从者至，始知为巡抚，叩头谢罪。,悉,详细地
model-new-trn,公至，与并坐，说田里间事甚悉，俄而从者至，始知为巡抚，叩头谢罪。,始,才
model-new-trn,公至，与并坐，说田里间事甚悉，俄而从者至，始知为巡抚，叩头谢罪。,谢,道歉
dtset-txt-off,指点江山，激扬文字，粪土当年万户侯。,粪土,视……如粪土，表鄙视
dtset-txt-off,携来百侣曾游。忆往昔峥嵘岁月稠。,稠,多
dtset-txt-off,唤渠朝餐歇半霎，低头折腰只不答,渠,他
dtset-txt-off,对酒当歌，人生几何！,几何,多少
dtset-txt-off,陌度阡，枉用相存。,存,问候、探望
dtset-txt-off,山不厌高，海不厌深。,厌,满足
dtset-txt-off,天姥连天向天横，势拔五岳掩赤城。,横,遮蔽
dtset-txt-off,惟觉时之枕席，失向来之烟霞。,觉,醒
dtset-txt-off,低眉信手续续弹，说尽心中无限事。,信手,随手
dtset-txt-off,弟走从军阿姨死，暮去朝来颜色故。,故,旧、老
dtset-txt-off,故木受绳则直，金就砺则利,就,靠近、接近
dtset-txt-off,君子生非异也，善假于物也,生,同“性”，天性
dtset-txt-off,句读之不知，惑之不解，或师焉，或不焉,或,有的，分别指代“句读之不知”和“惑”之不解
dtset-txt-off,巫医乐师百工之人，君子不齿,不齿,不与同列，意思是看不起
dtset-txt-off,纵一苇之所如，凌万顷之茫然。,纵,放任
dtset-txt-off,纵一苇之所如，凌万顷之茫然。,凌,越过
dtset-txt-off,酾酒临江，横槊赋诗,酾酒,斟酒
dtset-txt-off,是造物者之无尽藏也，而吾与子之所共适。,适,享有
dtset-txt-off,自京师乘风雪，历齐河、长清,乘,冒着
dtset-txt-off,彤管有炜，说怿女美。,怿,喜悦
dtset-txt-off,匪女之为美，美人之贻。,女,同“汝”，你
dtset-txt-off,方六七十，如五六十，求也为之,如,或者
dtset-txt-off,比及三年，可使足民。如其礼乐，以俟君子。,如,至于
dtset-txt-off,齐国虽褊小，吾何爱一牛？,爱,吝惜
dtset-txt-off,王若隐其无罪而就死地，则牛羊何择焉？,隐,怜惜
dtset-txt-off,王若隐其无罪而就死地，则牛羊何择焉？,择,区别
dtset-txt-off,夫子言之，于我心有戚戚焉。,戚戚,内心有所触动的样子
dtset-txt-off,欲辟土地，朝秦楚，莅中国而抚四夷也。,莅,统治
dtset-txt-off,王曰：“若是其甚与？”曰：“殆有甚焉。,殆,恐怕，可能
dtset-txt-off,为之四顾，为之踌躇满志，善刀而藏之。,善,这里指擦拭
dtset-txt-off,若亡郑而有益于君，敢以烦执事。,敢,自言冒昧的谦辞
dtset-txt-off,失其所与，不知；以乱易整，不武。,与,结交、同盟
dtset-txt-off,沛公奉卮酒为寿，约为婚姻,婚姻,亲家，指有婚姻关系的家族
dtset-txt-off,度我至军中，公乃入。,度,估计
dtset-txt-off,向使四君却客而不内，疏士而不用,向使,假使
dtset-txt-off,藉寇兵而赍盗粮,赍,送给、付与
dtset-txt-off,勇者竭其力，仁者播其惠，信者效其忠,惠,仁爱，宽厚
dtset-txt-off,辟邪说，难壬人，不为拒谏。,难,排斥
dtset-txt-off,廊腰缦回，檐牙高啄,缦,萦绕
dtset-txt-off,缦立远视，而望幸焉,缦立,久立
dtset-txt-off,故不战而强弱胜负已判矣。,判,确定，决定
dtset-txt-off,《诗》可以兴，可以观，可以群，可以怨。,怨,指讽刺时政
dtset-txt-off,自天子以至于庶人，壹是皆以修身为本。,壹是,一概，一律
dtset-txt-off,非所以内交于孺子之父母也，非所以要誉于乡党朋友也,要,博取，求取
dtset-txt-off,今一朝而鬻技百金，请与之,鬻,卖
dtset-txt-off,故子墨子曰不可以不劝爱人者，此也。,劝,鼓励
dtset-txt-off,故劳苦倦极，未尝不呼天也；疾痛惨怛，未尝不呼父母也。,极,疲困
dtset-txt-off,适长沙，观屈原所自沉渊，未尝不垂涕，想见其为人。,适,到……去
dtset-txt-off,匈奴留汉使郭吉、路充国等，前后十余辈。,辈,批
dtset-txt-off,愿陛下矜愍愚诚，听臣微志,矜愍,怜恤
dtset-txt-oth,不拘于时，学于余。,拘,被拘束，限制，拘泥
dtset-txt-oth,僻不当道者，皆不及往。,当,在
dtset-txt-oth,宗庙之事，如会同，端章甫，愿为小相焉。,如,或者
dtset-txt-oth,舍瑟而作，对曰：“异乎三子者之撰。”,撰,才能
dtset-txt-oth,然则小固不可以敌大，寡固不可以敌众，弱固不可以敌强。,固,本来
dtset-txt-oth,及陷于罪，然后从而刑之，是罔民也。,罔,同“网”，张网捕捉，比喻陷害
dtset-txt-oth,王欲行之，则盍反其本矣,盍,何不
dtset-txt-oth,今人有大功而击之，不义也。不如因善遇之。,因,趁机
dtset-txt-oth,今陛下致昆山之玉，有随、和之宝,有,占有
dtset-txt-oth,臣闻求木之长者，必固其根本,固,加固，使坚固，使稳固
dtset-guw-onl,或说陈王曰：“客愚无知，颛妄言，轻威。,颛,同“专”。
dtset-guw-onl,见殿屋帷帐，客曰：“夥颐！涉之为王沉沉者！,沉沉,形容宫室高大深邃，富丽堂皇。
dtset-guw-onl,事恐败。”因相与矫王令以诛吴叔，献其首于陈王。,矫,假托
dtset-guw-onl,将军身被坚执锐，伐无道,坚,指铠甲
dtset-guw-onl,今诚以吾众诈自称公子扶苏﹑项燕，为天下唱,诚,果真，如果，表假设
dtset-guw-onl,夫不能以游堕事而潇然于山石草木之间者，惟此官也。,堕,坏、耽误
dtset-guw-onl,悠然自得，毛羽鳞鬣之间皆有喜气。始知郊田之外未始无春,羽,鸟的羽毛，此处指鸟类
dtset-guw-onl,风力虽尚劲，然徒步则汗出浃背。凡曝沙之鸟,浃,湿透
dtset-guw-onl,游人虽未盛，泉而茗者，罍而歌者，红装而蹇者，亦时时有。,茗,煮茶，泡茶，喝茶
dtset-guw-onl,高柳夹堤，土膏微润，一望空阔,膏,肥沃
dtset-guw-onl,而其主不能守，此殆天所以资将军，将军岂有意乎？,资,资助，给予
dtset-guw-onl,贤能为之用，此可以为援而不可图也。荆州北据汉、沔,图,谋取
dtset-guw-onl,今操已拥百万之众，挟天子而令诸侯，此诚不可与争锋。,挟,挟持
dtset-guw-onl,然操遂能克绍，以弱为强者,克,战胜
dtset-guw-onl,而智术浅短，遂用猖蹶,智术,智谋，才识
dtset-guw-onl,卧龙也，将军岂愿见之乎？,岂,大概，是否
dtset-guw-onl,每自比于管仲、乐毅，时人莫之许也。,许,承认，同意
dtset-guw-onl,其邻人之父亦云。暮而果大亡其财，其家甚智其子,果,果然，结果
dtset-guw-onl,哲人日已远，典刑在夙昔。,夙昔,从前，过去
dtset-guw-onl,时穷节乃见，一一垂丹青。,垂,流传
